last_updated,target,temp_c,is_day,wind_kph,wind_degree,pressure_mb,humidity,cloud,feelslike_c,windchill_c,heatindex_c,dewpoint_c,vis_km,gust_kph,uv,wind_degree_sin,wind_degree_cos,lat,lon,futur_target
1736330400,0.0,9.7,1,22.7,179,1011.0,76,73,6.7,6.7,9.7,5.7,10.0,32.8,3.0,0.0174524064372834,-0.9998476951563912,45.75,4.85,0.0
1736334000,0.0,10.7,1,21.6,178,1010.0,75,46,8.1,8.1,10.7,6.4,10.0,29.5,3.0,0.0348994967025011,-0.9993908270190958,45.75,4.85,0.0
1736337600,0.0,11.7,1,20.2,176,1010.0,73,20,9.5,9.5,11.7,7.0,10.0,25.9,4.0,0.0697564737441255,-0.9975640502598242,45.75,4.85,0.0
1736341200,0.0,11.5,1,20.5,177,1009.0,74,36,9.3,9.3,11.5,7.1,10.0,28.8,3.0,0.0523359562429438,-0.9986295347545738,45.75,4.85,0.0
1736344800,0.0,11.3,1,20.9,177,1008.0,75,52,9.0,9.0,11.3,7.1,10.0,32.0,4.0,0.0523359562429438,-0.9986295347545738,45.75,4.85,0.0
1736348400,0.0,11.1,1,21.2,178,1008.0,76,68,8.7,8.7,11.1,7.1,10.0,35.0,3.0,0.0348994967025011,-0.9993908270190958,45.75,4.85,0.0
1736352000,0.0,10.4,1,19.8,181,1007.0,77,55,8.0,8.0,10.4,6.6,10.0,35.3,4.0,-0.0174524064372836,-0.9998476951563912,45.75,4.85,0.0
1736355600,0.0,9.8,0,18.4,184,1007.0,77,42,7.3,7.3,9.8,6.0,10.0,35.3,0.0,-0.0697564737441252,-0.9975640502598242,45.75,4.85,0.0
1736359200,0.0,9.1,0,16.9,187,1006.0,78,28,6.5,6.5,9.1,5.4,10.0,35.5,0.0,-0.1218693434051473,-0.992546151641322,45.75,4.85,0.0
1736362800,0.0,9.7,0,16.9,198,1006.0,75,52,7.4,7.4,9.7,5.5,10.0,34.9,0.0,-0.3090169943749473,-0.9510565162951536,45.75,4.85,0.0
1736366400,0.0,10.4,0,17.3,208,1006.0,72,76,8.2,8.2,10.4,5.6,10.0,34.2,0.0,-0.4694715627858908,-0.8829475928589269,45.75,4.85,0.0
1736370000,0.0,11.1,0,17.3,219,1006.0,69,100,9.1,9.1,11.1,5.8,10.0,33.3,0.0,-0.6293203910498376,-0.7771459614569708,45.75,4.85,0.3
1736290800,0.57,11.9,0,14.8,225,1009.0,97,100,10.3,10.3,11.9,11.5,2.0,24.3,0.0,-0.7071067811865475,-0.7071067811865477,44.8333,-0.5667,0.57
1736294400,0.57,12.5,0,18.0,225,1008.0,97,100,10.8,10.8,12.6,12.0,2.0,28.8,0.0,-0.7071067811865475,-0.7071067811865477,44.8333,-0.5667,2.18
1736298000,2.18,13.0,0,22.3,223,1008.0,95,100,11.0,11.0,13.0,12.2,9.0,34.9,0.0,-0.6819983600624984,-0.7313537016191706,44.8333,-0.5667,0.08
1736301600,0.08,13.9,0,24.5,231,1008.0,88,100,11.9,11.9,13.9,11.9,10.0,41.0,0.0,-0.7771459614569706,-0.6293203910498378,44.8333,-0.5667,0.01
1736305200,0.01,14.3,0,23.4,225,1008.0,80,64,12.5,12.5,14.3,10.9,10.0,40.0,0.0,-0.7071067811865475,-0.7071067811865477,44.8333,-0.5667,0.0
